path,eye_x,eye_y,gaze_x,gaze_y,bbox_x_min,bbox_y_min,bbox_x_max,bbox_y_max,inout
p00/icubCamera/board_images_human/00000000.jpg,333.0,243.0,24.248388083165825,43.72660146144657,292,192,372,300,1
p00/icubCamera/board_images_human/00000001.jpg,328.0,243.0,8.43299139298217,49.28371593301269,289,193,370,301,1
p00/icubCamera/board_images_human/00000002.jpg,323.0,245.0,-10.396744220045042,48.90713352490575,286,191,369,302,1
p00/icubCamera/board_images_human/00000003.jpg,319.0,248.0,-25.77816086618723,42.842577214226665,284,194,365,302,1
p00/icubCamera/board_images_human/00000004.jpg,311.0,244.0,-34.756223302340345,35.94447025284771,288,199,359,295,1
p00/icubCamera/board_images_human/00000005.jpg,333.0,248.0,25.622875473962548,42.93562917258589,292,194,372,302,1
p00/icubCamera/board_images_human/00000006.jpg,329.0,246.0,9.687493802684715,49.05254798502261,287,192,372,305,1
p00/icubCamera/board_images_human/00000007.jpg,323.0,246.0,-9.169045549817206,49.152096635905345,286,194,367,302,1
p00/icubCamera/board_images_human/00000008.jpg,310.0,247.0,-23.67343827675397,44.040530425469676,284,194,365,302,1
p00/icubCamera/board_images_human/00000009.jpg,322.0,246.0,-34.496008230414056,36.19427325098828,292,203,361,296,1
p00/icubCamera/board_images_human/00000010.jpg,334.0,251.0,26.452056693108545,42.429809058073445,290,196,373,306,1
p00/icubCamera/board_images_human/00000011.jpg,328.0,251.0,11.653448753331842,48.62301031562596,287,195,372,308,1
p00/icubCamera/board_images_human/00000012.jpg,322.0,249.0,-7.126491646677814,49.48952532415149,287,197,366,303,1
p00/icubCamera/board_images_human/00000013.jpg,323.0,251.0,-24.208703170331162,43.7485850149556,284,196,365,304,1
p00/icubCamera/board_images_human/00000014.jpg,316.0,249.0,-33.60527963908461,37.022765704076264,286,203,358,299,1
p00/icubCamera/board_images_human/00000015.jpg,337.0,252.0,27.18059340533002,41.96683621782955,291,197,374,308,1
p00/icubCamera/board_images_human/00000016.jpg,330.0,252.0,12.821734951227665,48.32807789308889,287,195,373,310,1
p00/icubCamera/board_images_human/00000017.jpg,321.0,253.0,-5.24724591864939,49.72390180053469,285,198,367,308,1
p00/icubCamera/board_images_human/00000018.jpg,321.0,255.0,-23.067636832099474,44.36084006172975,290,207,362,302,1
p00/icubCamera/board_images_human/00000019.jpg,313.0,254.0,-33.093174291490584,37.481219501411985,283,205,357,303,1
p00/icubCamera/board_images_human/00000020.jpg,332.0,245.0,24.375393272922523,43.655929755193206,290,192,373,302,1
p00/icubCamera/board_images_human/00000021.jpg,321.0,246.0,-10.498179123902965,48.88546036484108,286,194,367,301,1
p00/icubCamera/board_images_human/00000022.jpg,333.0,253.0,27.88447874269649,41.50247998912966,293,198,374,306,1
p00/icubCamera/board_images_human/00000023.jpg,317.0,248.0,-34.26823495024955,36.409999634640144,287,199,361,297,1
p00/icubCamera/board_images_human/00000024.jpg,320.0,245.0,-34.950054263799686,35.75603035793343,289,200,360,295,1
p00/icubCamera/board_images_human/00000025.jpg,314.0,253.0,-33.00261262975871,37.56098453994638,285,204,358,301,1
p00/icubCamera/board_images_human/00000026.jpg,326.0,247.0,9.982954922061026,48.99327107903796,287,193,370,304,1
p00/icubCamera/board_images_human/00000027.jpg,315.0,254.0,-3.7770556364695076,49.8571344013975,286,200,367,308,1
p00/icubCamera/board_images_human/00000028.jpg,335.0,250.0,26.372548880311708,42.47927336426047,292,196,372,304,1
p00/icubCamera/board_images_human/00000029.jpg,321.0,250.0,-25.04664415540794,43.274306655940414,292,203,361,296,1
